"year","month","centroid_latitude","centroid_longitude","events_total","fatalities_total"
"1997","4","35.978","3.012","1","42"
"1997","4","36.505","2.956","5","194"
"1997","4","36.702","3.032","1","21"
"1997","5","-29.623","27.795","2","2"
"1997","5","-26.019","28.012","1","0"
"1997","5","-25.744","30.148","1","0"
"1997","5","-23.774","29.342","4","0"
"1997","5","-19.058","34.886","2","0"
"1997","5","-18.986","33.373","1","0"
"1997","5","-16.952","37.159","1","0"
"1997","5","-13.368","36.316","1","0"
"1997","5","-12.819","13.901","2","0"
"1997","5","-12.605","15.609","3","1"
"1997","5","-12.320","39.357","2","0"
"1997","5","-9.898","20.953","1","0"
"1997","5","-9.530","16.266","2","0"
"1997","5","-8.599","19.350","13","68"
"1997","5","-7.126","15.390","2","0"
"1997","5","-6.211","17.771","1","0"
"1997","5","-6.211","23.552","3","0"
"1997","5","-5.143","14.385","5","300"
"1997","5","-4.810","18.805","3","600"
"1997","5","-4.479","15.783","25","204"
"1997","5","-3.965","15.474","2","0"
"1997","5","-3.875","29.470","1","42"
"1997","5","-3.859","29.732","2","66"
"1997","5","-3.463","29.485","1","11"
"1997","5","-3.461","30.345","1","10"
"1997","5","-3.394","29.367","3","0"
"1997","5","-3.297","28.167","1","10"
"1997","5","-3.118","29.399","2","18"
"1997","5","-2.872","29.923","1","20"
"1997","5","-2.848","29.262","6","156"
"1997","5","-2.286","29.682","2","17"
"1997","5","-2.127","29.391","5","33"
"1997","5","-1.791","15.653","1","4"
"1997","5","-1.742","30.539","1","3"
"1997","5","-1.610","29.910","2","40"
"1997","5","-1.302","36.827","3","1"
"1997","5","-0.787","16.311","6","1"
"1997","5","-0.551","28.719","5","5"
"1997","5","0.063","19.141","1","200"
"1997","5","0.205","25.633","2","0"
"1997","5","1.825","34.930","1","76"
"1997","5","2.029","21.176","1","0"
"1997","5","2.977","35.359","2","15"
"1997","5","3.329","19.463","1","0"
"1997","5","3.651","34.206","1","76"
"1997","5","4.019","21.303","5","0"
"1997","5","4.376","18.553","3","0"
"1997","5","4.680","31.690","1","3"
"1997","5","4.684","11.854","1","0"
"1997","5","4.825","5.959","1","0"
"1997","5","5.236","9.281","1","0"
"1997","5","5.760","6.327","1","2"
"1997","5","5.816","36.987","1","0"
"1997","5","6.234","6.942","3","11"
"1997","5","6.491","3.785","2","1"
"1997","5","6.511","7.393","1","1"
"1997","5","7.058","-11.130","1","0"
"1997","5","7.710","-12.000","37","0"
"1997","5","8.133","3.615","1","0"
"1997","5","8.205","-10.844","23","0"
"1997","5","8.335","-13.066","39","0"
"1997","5","8.598","28.474","5","0"
"1997","5","8.964","38.776","1","1"
"1997","5","9.086","4.571","1","2"
"1997","5","9.100","-12.678","25","0"
"1997","5","9.118","-11.486","48","0"
"1997","5","10.413","11.209","1","0"
"1997","5","11.229","30.914","2","0"
"1997","5","11.869","28.221","1","3"
"1997","5","11.871","-15.607","1","0"
"1997","5","12.605","-7.990","2","0"
"1997","5","13.452","-16.595","1","0"
"1997","5","15.533","13.127","1","0"
"1997","5","15.710","35.536","1","0"
"1997","5","18.835","33.123","2","0"
"1997","5","19.805","0.630","1","0"
"1997","5","20.074","35.413","4","28"
"1997","5","28.213","30.912","2","4"
"1997","5","33.581","-2.391","1","1"
"1997","5","36.505","2.956","2","37"
"1997","5","36.530","2.170","2","27"
"1997","5","36.702","3.032","1","10"
"1997","6","-28.942","30.469","2","8"
"1997","6","-26.019","28.012","1","0"
"1997","6","-22.908","17.092","4","0"
"1997","6","-19.058","34.886","1","0"
"1997","6","-15.851","32.336","1","0"
"1997","6","-14.853","15.010","3","0"
"1997","6","-13.386","19.973","1","0"
"1997","6","-12.819","13.901","2","0"
"1997","6","-12.442","17.417","2","2000"
"1997","6","-9.530","16.266","3","0"
"1997","6","-8.599","19.350","33","305"
"1997","6","-6.872","39.191","1","0"
"1997","6","-6.813","13.471","2","0"
"1997","6","-5.082","12.256","10","110"
"1997","6","-4.479","15.783","5","3"
"1997","6","-3.965","15.474","22","1"
"1997","6","-3.875","29.470","2","2"
"1997","6","-3.451","29.964","1","0"
"1997","6","-3.394","29.367","1","1"
"1997","6","-3.297","28.167","1","0"
"1997","6","-3.267","29.653","1","14"
"1997","6","-3.118","29.399","6","331"
"1997","6","-2.848","29.262","2","300"
"1997","6","-2.286","29.682","1","3"
"1997","6","-1.610","29.910","6","67"
"1997","6","-1.302","36.827","6","0"
"1997","6","0.063","19.141","1","0"
"1997","6","0.646","30.042","12","245"
"1997","6","0.662","41.818","3","1"
"1997","6","1.043","38.738","1","1"
"1997","6","1.971","44.660","2","3"
"1997","6","2.669","43.588","1","1"
"1997","6","2.768","41.770","4","34"
"1997","6","4.376","18.553","3","100"
"1997","6","4.680","31.690","1","0"
"1997","6","5.415","-4.067","2","0"
"1997","6","5.760","6.327","2","24"
"1997","6","6.130","20.812","6","0"
"1997","6","6.491","3.785","1","2"
"1997","6","6.522","-10.593","7","0"
"1997","6","6.652","38.478","2","27"
"1997","6","6.655","5.878","3","10"
"1997","6","6.950","40.414","3","40"
"1997","6","7.465","1.078","1","4"
"1997","6","7.710","-12.000","81","0"
"1997","6","8.205","-10.844","58","0"
"1997","6","8.335","-13.066","6","0"
"1997","6","8.598","28.474","10","996"
"1997","6","9.100","-12.678","15","0"
"1997","6","9.118","-11.486","25","0"
"1997","6","9.155","45.443","1","0"
"1997","6","9.365","9.628","1","8"
"1997","6","11.573","8.526","1","0"
"1997","6","12.605","-7.990","3","2"
"1997","6","14.232","7.475","1","0"
"1997","6","15.384","-12.211","2","0"
"1997","6","15.533","13.127","1","4"
"1997","6","15.915","33.135","1","0"
"1997","6","28.213","30.912","4","10"
"1997","6","28.838","30.854","1","3"
"1997","6","29.054","29.419","1","0"
"1997","6","30.037","31.564","2","1"
"1997","6","30.840","31.003","1","0"
"1997","6","34.085","-6.329","1","4"
"1997","6","34.347","3.212","1","18"
"1997","6","35.125","4.210","2","63"
"1997","6","35.400","0.241","1","4"
"1997","6","35.978","3.012","1","22"
"1997","6","36.505","2.956","2","28"
"1997","7","-32.635","22.222","2","0"
"1997","7","-32.108","26.590","1","0"
"1997","7","-28.942","30.469","3","11"
"1997","7","-28.682","26.628","1","0"
"1997","7","-26.031","32.550","2","0"
"1997","7","-26.019","28.012","2","4"
"1997","7","-22.908","17.092","3","0"
"1997","7","-18.600","47.513","2","0"
"1997","7","-17.855","31.052","2","0"
"1997","7","-16.293","15.601","1","0"
"1997","7","-15.534","29.007","1","0"
"1997","7","-14.853","15.010","1","14"
"1997","7","-10.516","27.620","1","125"
"1997","7","-9.683","22.999","1","125"
"1997","7","-9.591","13.678","2","15"
"1997","7","-8.599","19.350","6","10"
"1997","7","-6.716","27.970","1","125"
"1997","7","-5.143","14.385","1","10"
"1997","7","-4.700","30.511","2","6"
"1997","7","-4.479","15.783","8","83"
"1997","7","-4.235","29.800","3","64"
"1997","7","-3.965","15.474","7","2"
"1997","7","-3.875","29.470","2","4"
"1997","7","-3.859","29.732","2","3"
"1997","7","-3.463","29.485","2","45"
"1997","7","-3.394","29.367","5","239"
"1997","7","-3.297","28.167","1","125"
"1997","7","-2.286","29.682","1","17"
"1997","7","-1.610","29.910","6","126"
"1997","7","-1.302","36.827","9","26"
"1997","7","-1.038","36.847","1","1"
"1997","7","-0.551","28.719","5","94"
"1997","7","-0.461","36.099","1","0"
"1997","7","0.137","30.009","6","94"
"1997","7","0.288","36.794","2","7"
"1997","7","0.316","32.591","4","9"
"1997","7","0.531","31.763","1","0"
"1997","7","1.043","38.738","1","3"
"1997","7","1.635","9.794","1","0"
"1997","7","3.019","32.389","7","14"
"1997","7","3.417","33.319","7","14"
"1997","7","4.183","43.840","1","0"
"1997","7","4.680","31.690","6","6"
"1997","7","4.825","5.959","1","1"
"1997","7","5.036","6.840","1","1"
"1997","7","5.236","9.281","1","0"
"1997","7","6.760","-8.746","1","0"
"1997","7","6.950","40.414","1","2"
"1997","7","7.117","3.267","1","3"
"1997","7","7.710","-12.000","40","0"
"1997","7","8.133","3.615","2","1"
"1997","7","8.205","-10.844","24","0"
"1997","7","8.335","-13.066","15","0"
"1997","7","8.598","28.474","3","5"
"1997","7","9.100","-12.678","4","0"
"1997","7","9.118","-11.486","11","0"
"1997","7","9.321","18.863","1","0"
"1997","7","10.262","7.873","1","1"
"1997","7","11.048","32.698","7","106"
"1997","7","11.461","18.105","1","40"
"1997","7","11.876","13.435","1","0"
"1997","7","12.753","-16.400","2","3"
"1997","7","13.261","-16.511","1","1"
"1997","7","13.526","2.119","2","0"
"1997","7","13.799","1.877","1","12"
"1997","7","13.865","-13.324","1","0"
"1997","7","14.214","35.022","1","9"
"1997","7","14.232","7.475","1","0"
"1997","7","15.219","9.715","2","0"
"1997","7","15.533","13.127","1","17"
"1997","7","15.915","33.135","1","0"
"1997","7","20.074","35.413","2","2"
"1997","7","26.513","22.085","1","1"
"1997","7","28.213","30.912","1","6"
"1997","7","33.581","-2.391","1","0"
"1997","7","35.367","-0.947","1","38"
"1997","7","35.400","0.241","1","22"
"1997","7","35.978","3.012","4","95"
"1997","7","36.161","2.086","1","39"
"1997","7","36.505","2.956","3","68"
"1997","7","36.530","2.170","4","78"
"1997","7","36.683","4.239","1","12"
"1997","8","-28.942","30.469","2","0"
"1997","8","-26.019","28.012","2","0"
"1997","8","-18.600","47.513","2","0"
"1997","8","-17.855","31.052","2","2"
"1997","8","-15.534","29.007","1","0"
"1997","8","-14.853","15.010","3","31"
"1997","8","-14.279","28.583","1","0"
"1997","8","-13.386","19.973","3","0"
"1997","8","-12.819","13.901","1","17"
"1997","8","-12.605","15.609","1","0"
"1997","8","-10.945","15.049","1","2"
"1997","8","-8.859","15.097","1","3"
"1997","8","-7.126","15.390","5","0"
"1997","8","-4.700","30.511","1","20"
"1997","8","-4.479","15.783","4","4"
"1997","8","-4.235","29.800","1","3"
"1997","8","-4.132","13.523","2","0"
"1997","8","-4.120","39.063","1","0"
"1997","8","-3.997","39.601","18","59"
"1997","8","-3.965","15.474","7","3"
"1997","8","-3.875","29.470","4","15"
"1997","8","-3.865","30.093","1","2"
"1997","8","-3.510","29.715","1","1"
"1997","8","-3.463","29.485","2","6"
"1997","8","-3.461","30.345","4","204"
"1997","8","-3.394","29.367","5","19"
"1997","8","-3.362","12.306","1","0"
"1997","8","-3.297","28.167","4","0"
"1997","8","-3.267","29.653","1","1"
"1997","8","-3.148","39.671","2","2"
"1997","8","-3.118","29.399","5","18"
"1997","8","-2.872","29.923","1","0"
"1997","8","-2.848","29.262","2","7"
"1997","8","-2.498","25.953","1","0"
"1997","8","-2.127","29.391","9","817"
"1997","8","-1.742","30.539","1","39"
"1997","8","-1.610","29.910","2","19"
"1997","8","-1.302","36.827","3","7"
"1997","8","-1.208","13.806","1","4"
"1997","8","-1.038","36.847","1","2"
"1997","8","-0.551","28.719","3","0"
"1997","8","-0.461","36.099","1","0"
"1997","8","0.137","30.009","1","1"
"1997","8","0.316","32.591","1","0"
"1997","8","0.621","30.268","3","21"
"1997","8","0.646","30.042","1","5"
"1997","8","0.662","41.818","2","2"
"1997","8","1.486","17.376","1","0"
"1997","8","1.635","9.794","1","0"
"1997","8","2.088","45.393","1","3"
"1997","8","2.669","43.588","1","0"
"1997","8","3.016","45.875","1","0"
"1997","8","3.019","32.389","2","6"
"1997","8","3.417","33.319","5","18"
"1997","8","4.183","43.840","2","0"
"1997","8","4.322","45.492","1","0"
"1997","8","4.680","31.690","10","403"
"1997","8","4.825","5.959","1","0"
"1997","8","5.760","6.327","1","0"
"1997","8","6.491","3.785","5","2"
"1997","8","6.884","-7.694","1","1"
"1997","8","7.543","4.535","7","27"
"1997","8","7.697","5.301","2","0"
"1997","8","7.710","-12.000","33","0"
"1997","8","8.205","-10.844","35","0"
"1997","8","8.335","-13.066","11","0"
"1997","8","9.100","-12.678","13","0"
"1997","8","9.118","-11.486","4","0"
"1997","8","9.292","42.161","1","0"
"1997","8","10.262","7.873","1","0"
"1997","8","11.048","32.698","2","4"
"1997","8","11.229","30.914","1","4"
"1997","8","12.273","43.038","1","0"
"1997","8","12.605","-7.990","1","1"
"1997","8","12.753","-16.400","6","53"
"1997","8","12.912","-15.554","2","65"
"1997","8","13.009","-14.347","1","9"
"1997","8","14.389","29.437","1","13"
"1997","8","20.074","35.413","4","6"
"1997","8","27.404","31.740","2","5"
"1997","8","33.221","7.145","1","60"
"1997","8","33.581","-2.391","1","1"
